Time,Data
2.707533997,931.6740497
2.715219089,901.0320402
2.72714254,843.0388844
2.732987302,810.1810178
2.738832065,774.5562593
2.749526241,702.6190126
2.756422056,651.9197068
2.763317871,598.1216036
2.775308698,497.9618353
2.781620036,442.2748746
2.787931373,384.8267859
2.800796811,263.2271221
2.806876194,204.1270911
2.812955578,144.2728611
2.825292311,21.40913604
2.832949174,-55.12989051
2.840606036,-131.3458619
2.853105554,-253.9110186
2.864975168,-366.6612623
2.870529101,-417.7406089
2.876083034,-467.5317168
2.885545374,-548.9603151
2.89389686,-616.7716482
2.902248346,-680.283664
2.913917443,-760.991827
2.920100436,-799.6250027
2.92628343,-835.2022331
2.938483019,-895.9192646
2.944253412,-920.0469247
2.950023804,-941.1119151
2.960545403,-971.414898
2.967362639,-985.3292326
2.974179874,-994.6660525
2.985453258,-999.9557981
2.991764122,-997.3722283
2.998074986,-990.8177415
3.010271861,-967.0071425
3.015880581,-951.205866
3.021489301,-932.4130953
3.031463042,-891.7945244
3.038759761,-856.4374908
3.046056481,-816.5226259
3.057260688,-746.8547581
3.06385178,-701.4348939
3.070442872,-652.9689247
3.084559831,-539.9083525
3.089509867,-497.5984068
3.094459903,-454.0694521
3.1028527,-377.7819406
3.114432999,-268.269798
3.124666771,-168.4518083
3.130246865,-113.2146207
3.135826959,-57.6250032
3.14654786,49.53179009
3.156620008,149.7085998
3.166692156,248.3679268
3.173633555,314.9547803
3.180574953,380.024696
3.197637862,531.5691784
3.201681335,565.3741721
3.205724808,598.2549236
3.212616685,652.0159949
3.221664557,717.8568589
3.233235631,793.4336367
3.243343376,850.8007408
3.249727742,882.5937142
3.256112109,910.7904452
3.268484164,954.7788591
3.274051008,969.8424436
3.279617852,981.9012863
3.289405818,995.7097
3.296827273,999.8298011
3.304248727,998.4455684
3.315184063,986.3990054
3.321786734,973.4048425
3.328389405,956.1686366
3.341995424,907.6139379
3.346899133,885.9451103
3.351802842,862.1463342
3.35993988,818.1121304
3.371047707,749.3249685
3.380590001,682.8225987
3.388567622,622.4294936
3.395276047,568.563609
3.405005668,485.9610975
3.414735289,398.7618374
3.423527582,316.6952528
3.43157481,239.422577
3.440870313,148.2673834
3.449086982,66.60003919
3.456967648,-12.15699151
3.464848314,-90.83856041
3.477056113,-211.4340448
3.484054493,-279.2622811
3.491052872,-345.7233238
3.501834133,-444.6846344
3.509749814,-514.1179365
3.517665495,-580.3315595
3.530633783,-680.773895
3.536031859,-719.303639
3.541429935,-755.7378967
3.551659049,-818.6585863
3.558950686,-858.3205832
3.566242322,-893.4210857
3.576837404,-935.9174387
3.583893729,-958.4214869
3.590950053,-976.1553698
3.60194907,-994.084421
3.608505795,-999.0645374
3.61506252,-999.7511493
3.628185596,-988.2358051
3.63329034,-979.1447939
3.638395085,-967.5028402
3.64700463,-942.1760606
3.655734157,-909.3713297
3.664463684,-869.6411668
3.675496711,-809.9956715
3.681972802,-770.3461331
3.688448894,-727.4669105
3.70092016,-636.4679559
3.706675487,-591.0476161
3.712430815,-543.6700428
3.72297686,-452.3006445
3.730452014,-384.4313016
3.737927168,-314.4148364
3.753117044,-167.1530733
3.758325155,-115.6012529
3.763533267,-63.73594159
3.772268863,23.57460537
3.784952786,149.8494684
3.791735687,216.5166098
3.798518587,282.1879892
3.810971498,399.1624029
3.817883689,461.5352787
3.824795881,521.703891
3.840607817,649.5301517
3.845018061,682.4203773
3.849428306,713.9834929
3.856722171,763.1087671
3.86652967,822.7230155
3.877546605,880.2335859
3.886470688,919.0230654
3.893781726,945.3627321
3.901092765,966.6515639
3.910643658,986.6682487
3.92093032,998.1640811
3.929790199,999.6081987
3.939969078,991.5900515
3.946243308,981.5242536
3.952517538,967.5958585
3.96291699,936.1566414
3.969872481,909.4584215
3.976827972,878.3621199
3.988130873,818.8448779
3.994557919,780.2874561
4.000984965,738.5080166
4.013964766,645.0256387
4.019387021,602.6632048
4.024809276,558.5293242
4.034380794,476.6997029
4.04280392,401.0523126
4.051227045,322.5611766
4.062605946,213.0006211
4.069457701,145.6079928
4.076309456,77.53205261
4.089009511,-49.3705386
4.097383207,-132.734691
4.105756904,-215.1686676
4.115132585,-305.6503099
4.124508266,-393.4471498
4.132659348,-466.9946351
4.14081043,-537.4411189
4.151755439,-626.3404687
4.161161377,-696.7877266
4.167478202,-740.6770517
4.173795027,-781.6118888
4.183631982,-839.093855
4.193468937,-888.4628174
4.201539777,-922.571539
4.209211869,-949.4295962
4.21688396,-970.7019573
4.226975445,-989.9707925
4.236803218,-999.0553871
4.245302509,-999.1379916
4.253304713,-992.6223375
4.261259764,-979.8480843
4.269214815,-960.8763433
4.280118815,-925.0278886
4.286457018,-899.1077995
4.29279522,-869.5769505
4.30527057,-801.3756271
4.310842984,-766.8169594
4.316415398,-729.8778035
4.326314956,-658.7435869
4.334009477,-598.960513
4.341703998,-535.6330035
4.353635667,-431.3065785
4.359988643,-373.1581422
4.366341619,-313.5041348
4.379220918,-188.9452854
4.385488486,-127.067842
4.391756053,-64.69140888
4.40540979,71.73906769
4.412814463,145.3309612
4.420219136,218.1263809
4.434514662,354.939608
4.441401276,418.4296193
4.44828789,479.9359931
4.458839281,569.6629205
4.46548435,622.9798578
4.472129419,673.5469187
4.486494857,772.4255245
4.491362968,802.4158609
4.496231079,830.5049673
4.504344098,872.9140991
4.515394769,921.3933036
4.52506539,954.612702
4.532893848,974.9822846
4.539688991,987.8250076
4.550866179,999.0130748
4.557442952,999.7723953
4.564019726,996.2088638
4.574606234,981.4392113
4.581503216,965.8897634
4.588400199,945.7475571
4.59987277,902.3374766
4.606068032,873.9200116
4.612263295,842.1494029
4.624099732,772.5786012
4.630079573,733.2531665
4.636059415,691.3065096
4.647338083,605.5915137
4.653906437,552.0538396
4.66047479,496.135281
4.675047066,364.80107
4.680005413,318.2051937
4.68496376,270.8271638
4.693463028,188.13169
4.705263863,71.19090209
4.713903339,-15.14301074
4.722542816,-101.3639656
4.73099731,-185.0112348
4.739458914,-267.4053683
4.749840122,-365.8178585
4.758196397,-442.2216346
4.765264564,-504.4594767
4.772332731,-564.1781394
4.785311665,-666.2933009
4.791451331,-710.7919893
4.797590998,-752.612153
4.810034413,-828.5171349
4.815742366,-859.1129298
4.82145032,-886.9104321
4.831892311,-930.2278784
4.83884405,-953.4721594
4.845795789,-972.1104816
4.856908008,-992.1219257
4.863386013,-998.1506694
4.869864019,-999.9921827
4.882761034,-991.1785775
4.887978572,-982.9179262
4.89319611,-971.9821134
4.90209378,-947.2503141
4.910463457,-917.1413732
4.918833134,-880.6114698
4.930896948,-817.1867154
4.9366279,-782.8315249
4.942358851,-745.9059212
4.953029296,-670.7277156
4.959967506,-617.694288
4.966905715,-561.6885501
4.978816583,-459.3973819
4.985261579,-401.2367652
4.991706576,-341.4100688
5.005451872,-209.4023725
5.011099671,-153.8719936
5.01674747,-97.85092986
5.027443796,8.955381797
5.037554305,109.8385235
5.047664813,209.5998257
5.056603239,296.0455356
5.064816011,373.4057809
5.071939761,438.4875773
5.080934286,517.443257
5.089928812,592.2155651
5.101356646,680.2355977
5.10852155,730.9636817
5.115686454,777.9409066
5.125545743,836.012245
5.133103167,875.054892
5.140660591,909.1020709
5.153386511,954.6204176
5.158909558,969.6054638
5.164432605,981.6335724
5.174036678,995.4039687
5.181647653,999.8039419
5.189258629,998.4151513
5.200299907,986.1343353
5.206813866,973.2407018
5.213327825,956.2189062
5.226506312,909.4718518
5.231614889,887.0548969
5.236723466,862.3234486
5.245360349,815.429985
5.25423222,760.9349713
5.263104091,700.4545587
5.274575652,614.1579919
5.281245643,560.1929286
5.287915633,503.7365598
5.299575353,399.8210312
5.306232711,337.9595184
5.312890069,274.600708
5.329373511,113.097494
5.333942009,67.603425
5.338510506,21.96828435
5.346377374,-56.66825872
5.357149772,-163.6827522
5.365073003,-241.2511965
5.372996235,-317.3059159
5.384282341,-422.088894
5.391848756,-489.4094683
5.399415171,-553.9294786
5.410506946,-642.6823841
5.417567161,-695.1269638
5.424627376,-744.1080085
5.437432109,-823.3257431
5.442982799,-853.5455523
5.448533488,-881.1362501
5.458464991,-923.6794766
5.465884833,-949.542263
5.473304675,-970.1798326
5.48414918,-990.7147021
5.490865341,-997.6053885
5.497581502,-999.9978856
5.51167943,-990.3657294
5.516333333,-982.8511819
5.520987237,-973.2082792
5.528536269,-953.0958885
5.538804635,-917.0510858
5.546817302,-882.1908881
5.554829968,-841.6698059
5.565572268,-778.9220458
5.571940922,-737.4307782
5.578309576,-692.9495206
5.591158757,-594.8509316
5.596712105,-549.3170537
5.602265452,-502.0895359
5.612236566,-413.5066986
5.620386791,-338.0083191
5.628537016,-260.2659225
5.642171351,-126.6135054
5.647685167,-71.75438199
5.653198983,-16.677165
5.663361967,84.84976533
5.678198716,231.2082408
5.683514809,282.5777513
5.688830902,333.1488613
5.698533053,422.9177261
5.707275036,500.4189416
